web-scraper-order,web-scraper-start-url,products,products-href,enter,enter-href,image-src,features,specs
"1649630821-1017","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      Fleece Dust Bags (5PK) - 12 Gallon (49-90-1999) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-1999","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-1999_2.png?mw=520&mh=520&hash=6EF4AC1DEA93A08F165268CBECB6ECDA","","Width"
"1649630827-1038","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      2-1/2"" X 16' Flexible Hose (49-90-2004) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-2004","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-2004_1.png?mw=520&mh=520&hash=A1035F501ABA0E3AA31BEF1179B6730B","Dedicated custom rubber gasket improves air flow and performance when in use",""
"1649630944-1924","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      M18 FUEL™ Compact Pipe Threader w/ ONE-KEY™ Kit (2870-22) 5.0 out of 5 stars. 1 review  + Quick View","https://www.milwaukeetool.com/Products/2870-22","/-/media/Products/Power-Tools/Cordless/Threading/2870-22/2870-22_Kit.png?mw=520&mh=520&hash=E78E876750E03B0C78D6D3F6EEB21D93","One-Key™ technology allows for tracking, tool security, and inventory management",""
"1649630839-1121","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      2-1/2"" Floor Utility Nozzle (49-90-2009) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-2009","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-2009_2.png?mw=520&mh=520&hash=A48CAE125B91317A34550DFB7A75E198","","0930-22HD - M18 FUEL 12 GALLON DUAL-BATTERY WET/DRY VACUUM KIT"
"1649630894-1499","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M12™ AIR-TIP™ Utility Nozzle (0980-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/0980-20","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0980-20_2.png?mw=520&mh=520&hash=6F28E7D76C94C8D0F1AA8C37D54BEAD9","","Width"
"1649630933-1826","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 15 Gauge Finish Nailer (2839) 4.5 out of 5 stars. 70 reviews  + Quick View","https://www.milwaukeetool.com/Products/2839-20","/-/media/Products/Power-Tools/Cordless/Nailers/2839/2839-20_1.png?mw=520&mh=520&hash=0781A3D2BD374101838C17F32CD4BA79","","34 Degrees"
"1649630903-1568","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18™ Drum Machine with 3/8"" Cable (2817A-21) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/2817A-21","/-/media/Products/Power-Tools/Cordless/Drain-Cleaning/2817/2817A-21_Kit.png?mw=520&mh=520&hash=7C810B8955079805774FDC59F4853C19","Features a Removable Drum, Additional Drum Sold Separately (47-53-2817)",""
"1649630921-1689","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      M18 FUEL™ 12 Gallon Dual-Battery Wet/Dry Vacuum Kit (0930-22HD) 5.0 out of 5 stars. 1 review  + Quick View","https://www.milwaukeetool.com/Products/0930-22HD","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0930-22HD_2.png?mw=520&mh=520&hash=607FDA76E2D708176F8147D3C69D74AC","2-1/2"" Hose Diameter",""
"1649630906-1590","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      M18 FUEL™ 15mm Random Orbital Polisher (2684-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/2684-20","/-/media/Products/Power-Tools/Cordless/Sanders-and-Polishers/2684/2684-20_1.png?mw=520&mh=520&hash=F70E9B6A815E6D1B3E29F3ECE5CBCA18","Power to Correct Heavy Defects",""
"1649630827-1037","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      2-1/2"" X 16' Flexible Hose (49-90-2004) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-2004","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-2004_1.png?mw=520&mh=520&hash=A1035F501ABA0E3AA31BEF1179B6730B","High-performance swivel mechanism",""
"1649630857-1217","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 4-1/2"" / 5"" Variable Speed Braking Grinder, Slide Switch Lock-On (2889-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/2889-20","/-/media/Products/Power-Tools/Cordless/Grinders/2889/2889-20_1.png?mw=520&mh=520&hash=895D7B9976185F41E5CEC663CA8391AA","","Product Specifications"
"1649630833-1080","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      2-1/2"" Dust Extraction Adaptor Kit (49-90-2000) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-2000","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-2000_1.png?mw=520&mh=520&hash=61AEEF24BD8DB500D49A90401B7A14DA","","Weight"
"1649630870-1311","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      6 Gallon Wet/Dry Vacuum Tank (0922-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/0922-20","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0922-20_1.png?mw=520&mh=520&hash=FB6F01A1C12DFC28F6F6C340F793B4D8","Grip handles for easy carrying and emptying",""
"1649630851-1188","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      2-1/2"" Extension Wand (49-90-2007) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-2007","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-2007_1.png?mw=520&mh=520&hash=3722D85386539C1A6200D1AE74AD8DCC","","Width"
"1649630848-1164","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon       Fleece Dust Bags (5PK) - 9 Gallon (49-90-1989) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-1989","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-1989_2.png?mw=520&mh=520&hash=0DA5B6FAC7C04FAE4206846CA62EEAB8","","Product Specifications"
"1649630897-1506","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 1"" SDS Plus Rotary Hammer w/ ONE-KEY™ Dust Extractor Kit (2914-22DE) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/2914-22DE","/-/media/Products/Power-Tools/Cordless/Rotary-and-Demolition-Hammers/2914/2914-22DE_3.png?mw=520&mh=520&hash=EBB96CE96F84A1F6D3B61BE7230D938B","With the M18 REDLITHIUM HIGHOUTPUT 6.0 Battery, the M18 FUEL 1"" SDS Plus Rotary Hammer can deliver up to 125 holes of runtime of 3/8"" x 2"" holes",""
"1649630930-1785","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 8' Concrete Pencil Vibrator (2911-20) 4.0 out of 5 stars. 2 reviews  + Quick View","https://www.milwaukeetool.com/Products/2911-20","/-/media/Products/Power-Tools/Cordless/Rotary-and-Demolition-Hammers/2911/2911-20_1.png?mw=520&mh=520&hash=9DCB00033D066C546BA314AFF0288C33","","Square Head"
"1649630864-1271","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 5"" Flathead Braking Grinder, Slide Switch Lock-On (2887-20) 4.0 out of 5 stars. 1 review  + Quick View","https://www.milwaukeetool.com/Products/2887-20","/-/media/Products/Power-Tools/Cordless/Grinders/2887/2887-20_1.png?mw=520&mh=520&hash=B33820AE8E8075EF641D161441701D16","","Power Source"
"1649630821-1013","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      Fleece Dust Bags (5PK) - 12 Gallon (49-90-1999) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/49-90-1999","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/49-90-1999_2.png?mw=520&mh=520&hash=6EF4AC1DEA93A08F165268CBECB6ECDA","","Weight"
"1649630933-1802","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 15 Gauge Finish Nailer (2839) 4.5 out of 5 stars. 70 reviews  + Quick View","https://www.milwaukeetool.com/Products/2839-20","/-/media/Products/Power-Tools/Cordless/Nailers/2839/2839-20_1.png?mw=520&mh=520&hash=0781A3D2BD374101838C17F32CD4BA79","Power to Nail Hardwoods & Softwoods",""
